"filename", "language", "JSON", "JavaScript", "JSON with Comments", "TypeScript", "Markdown", "TypeScript JSX", "HTML", "XML", "CSS", "YAML", "comment", "blank", "total"
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\components\ui\toaster.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 3, 35
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\components\ui\use-toast.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 159, 0, 0, 0, 0, 3, 30, 192
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\components\ui\wavy-background.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 5, 8, 137
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\hooks\use-db.test.ts", "TypeScript", 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 11, 47, 212
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\hooks\use-db.ts", "TypeScript", 0, 0, 0, 189, 0, 0, 0, 0, 0, 0, 227, 29, 445
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\hooks\use-log.test.ts", "TypeScript", 0, 0, 0, 228, 0, 0, 0, 0, 0, 0, 0, 0, 228
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\hooks\use-log.ts", "TypeScript", 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 20, 27, 140
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\hooks\use-tracking.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 5, 20
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\lib\db\db-factory.ts", "TypeScript", 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 47, 16, 129
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\lib\db\init-db.ts", "TypeScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 13, 4, 49
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\lib\db\model-service.ts", "TypeScript", 0, 0, 0, 278, 0, 0, 0, 0, 0, 0, 113, 24, 415
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\lib\db\mongo.ts", "TypeScript", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 26, 13, 98
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\lib\db\schema\feedback.ts", "TypeScript", 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 37, 12, 140
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\lib\db\schema\user.ts", "TypeScript", 0, 0, 0, 90, 0, 0, 0, 0, 0, 0, 31, 11, 132
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\lib\db\types.ts", "TypeScript", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 49, 20, 116
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\lib\utils.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\src\store\theme-store.ts", "TypeScript", 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 18, 19, 163
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\tailwind.config.ts", "TypeScript", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 3, 76
"e:\Projects\Nextjs-projects\icstudio\root\icstudio\tsconfig.json", "JSON with Comments", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"Total", "-", 5882, 16, 28, 2142, 3, 7498, 234, 1638, 126, 4322, 1259, 2393, 25541
